Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(l/100km),Emission,Price,car_id
Maruti,Swift,2019,White,Hatchback,31994,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6660.0,15
Suzuki,Swift,2019,White,Hatchback,31994,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6660.0,15
Toyota,Yaris,2020,White,Sedan,13768,1st,5,Petrol,42,1496,CVT,Automatic,105.94,140.0,5.82,BS IV,10390.0,16
Tata,Punch,2022,Beige,Suv,3174,1st,5,Petrol,37,1199,5-Speed,Manual,84.0,113.0,5.29,BS IV,8580.0,17
Renault,Duster,2017,Orange,Suv,70137,1st,5,Diesel,50,1461,6-Speed,Automatic,108.45,245.0,5.1,BS V,8600.0,18
Toyota,Yaris,2018,White,Sedan,35913,2nd,5,Petrol,42,1496,6-Speed,Automatic,105.94,140.0,5.82,BS IV,6800.0,19
Hyundai,Elite,2018,Blue,Hatchback,19056,1st,5,Petrol,45,1197,5-Speed,Manual,82.85,113.7,5.38,BS V,6250.0,20
Hyundai,i20,2018,Blue,Hatchback,19056,1st,5,Petrol,45,1197,5-Speed,Manual,82.85,113.7,5.38,BS V,6250.0,20
Volkswagen,Ameo,2017,Brown,Sedan,32492,1st,5,Petrol,45,1198,5-Speed,Manual,73.75,110.0,5.88,BS V,5670.0,21
Maruti,Celerio,2014,Yellow,Hatchback,22598,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.33,BS IV,3710.0,22
Suzuki,Celerio,2014,Yellow,Hatchback,22598,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.33,BS IV,3710.0,22
Hyundai,Creta,2019,Grey,Suv,85981,1st,5,Diesel,55,1582,6-Speed,Automatic,126.0,260.0,6.33,BS V,10760.0,23
Toyota,Etios,2017,Blue,Hatchback,17791,1st,5,Petrol,45,1197,5-Speed,Manual,79.0,104.0,5.51,BS V,5870.0,24
Toyota,Liva,2017,Blue,Hatchback,17791,1st,5,Petrol,45,1197,5-Speed,Manual,79.0,104.0,5.51,BS V,5870.0,24
Hyundai,i10,2016,White,Hatchback,26910,2nd,5,Petrol,35,1197,5-Speed,Manual,78.9,111.8,4.91,BS III,3960.0,25
Maruti,Swift,2014,Blue,Sedan,28562,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.24,BS IV,5540.0,26
Maruti,Dzire,2014,Blue,Sedan,28562,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.24,BS IV,5540.0,26
Suzuki,Swift,2014,Blue,Sedan,28562,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.24,BS IV,5540.0,26
Suzuki,Dzire,2014,Blue,Sedan,28562,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.24,BS IV,5540.0,26
Hyundai,Verna,2019,White,Sedan,40345,1st,5,Petrol,43,1591,6-Speed,Automatic,121.0,158.0,5.75,BS V,9840.0,27
Maruti,Celerio,2019,Grey,Hatchback,19550,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.33,BS IV,5070.0,28
Suzuki,Celerio,2019,Grey,Hatchback,19550,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.33,BS IV,5070.0,28
Hyundai,Elite,2017,Red,Hatchback,54233,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5860.0,29
Hyundai,i20,2017,Red,Hatchback,54233,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5860.0,29
Maruti,Baleno,2017,Blue,Hatchback,33113,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,6390.0,30
Suzuki,Baleno,2017,Blue,Hatchback,33113,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,6390.0,30
Maruti,Alto,2011,Red,Hatchback,79565,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,4.78,BS IV,2370.0,31
Maruti,K10,2011,Red,Hatchback,79565,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,4.78,BS IV,2370.0,31
Suzuki,Alto,2011,Red,Hatchback,79565,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,4.78,BS IV,2370.0,31
Suzuki,K10,2011,Red,Hatchback,79565,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,4.78,BS IV,2370.0,31
Honda,Amaze,2013,White,Sedan,10651,1st,5,Petrol,35,1198,5-Speed,Manual,86.9,109.0,5.56,BS IV,5360.0,32
Renault,Kwid,2020,Bronze,Hatchback,27664,1st,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.61,BS IV,4560.0,33
Hyundai,i20,2021,Red,Hatchback,13389,1st,5,Petrol,37,998,7-Speed,Automatic,118.0,172.0,4.95,BS IV,11070.0,34
Hyundai,Elite,2016,Grey,Hatchback,30797,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5710.0,35
Hyundai,i20,2016,Grey,Hatchback,30797,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5710.0,35
Honda,Mobilio,2015,Grey,Muv,48947,1st,7,Petrol,42,1497,5-Speed,Manual,118.0,145.0,5.78,BS IV,5870.0,36
Honda,Amaze,2017,White,Sedan,37315,1st,5,Petrol,35,1198,5-Speed,Manual,86.9,109.0,5.56,BS IV,6290.0,37
Maruti,Swift,2022,Silver,Hatchback,11047,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,7180.0,38
Suzuki,Swift,2022,Silver,Hatchback,11047,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,7180.0,38
Hyundai,i10,2013,Silver,Hatchback,24858,1st,5,Petrol,35,1197,5-Speed,Manual,78.9,111.8,4.91,BS III,3960.0,39
Hyundai,Venue,2022,Blue,Suv,4839,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,114.0,5.71,BS IV,8770.0,40
Tata,Altroz,2020,Golden,Hatchback,16329,1st,5,Petrol,37,1199,5-Speed,Manual,84.82,113.0,5.25,BS IV,7740.0,41
Maruti,Ignis,2018,Red,Hatchback,57286,1st,5,Petrol,32,1197,5-Speed,Manual,81.8,113.0,4.79,BS V,5540.0,42
Suzuki,Ignis,2018,Red,Hatchback,57286,1st,5,Petrol,32,1197,5-Speed,Manual,81.8,113.0,4.79,BS V,5540.0,42
Tata,Punch,2022,White,Suv,3679,1st,5,Petrol,37,1199,6-Speed,Automatic,84.0,113.0,5.29,BS IV,8290.0,43
Hyundai,Elite,2014,White,Hatchback,96077,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5300.0,44
Hyundai,i20,2014,White,Hatchback,96077,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5300.0,44
Maruti,Alto,2017,Grey,Hatchback,30406,1st,5,Petrol,35,998,5-Speed,Manual,67.0,90.0,4.15,BS V,3670.0,45
Maruti,K10,2017,Grey,Hatchback,30406,1st,5,Petrol,35,998,5-Speed,Manual,67.0,90.0,4.15,BS V,3670.0,45
Suzuki,Alto,2017,Grey,Hatchback,30406,1st,5,Petrol,35,998,5-Speed,Manual,67.0,90.0,4.15,BS V,3670.0,45
Suzuki,K10,2017,Grey,Hatchback,30406,1st,5,Petrol,35,998,5-Speed,Manual,67.0,90.0,4.15,BS V,3670.0,45
Hyundai,Grand,2018,Grey,Hatchback,60873,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5500.0,46
Hyundai,i10,2018,Grey,Hatchback,60873,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5500.0,46
Maruti,Ignis,2018,Blue,Hatchback,24811,1st,5,Petrol,32,1197,5-Speed,Manual,81.8,113.0,4.79,BS V,6600.0,47
Suzuki,Ignis,2018,Blue,Hatchback,24811,1st,5,Petrol,32,1197,5-Speed,Manual,81.8,113.0,4.79,BS V,6600.0,47
Hyundai,i20,2021,Red,Hatchback,56275,1st,5,Petrol,37,998,7-Speed,Automatic,118.0,172.0,4.95,BS IV,9980.0,48
Hyundai,Verna,2018,Silver,Sedan,78981,1st,5,Diesel,43,1582,6-Speed,Automatic,126.0,260.0,4.04,BS V,10120.0,49
Honda,City,2021,Silver,Sedan,7434,1st,5,Petrol,40,1498,7-Speed,Automatic,119.35,145.0,5.88,BS IV,15370.0,50
Hyundai,i20,2021,Blue,Hatchback,10730,1st,5,Petrol,37,1197,5-Speed,Manual,82.0,115.0,4.76,BS IV,9080.0,51
Renault,Kwid,2019,Bronze,Hatchback,21996,1st,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.55,BS V,5080.0,52
Maruti,S-Presso,2019,Blue,Hatchback,3474,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4170.0,53
Suzuki,S-Presso,2019,Blue,Hatchback,3474,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4170.0,53
Maruti,Dzire,2017,Brown,Sedan,64458,1st,5,Diesel,37,1248,5-Speed,Manual,74.0,190.0,3.52,BS V,7250.0,54
Suzuki,Dzire,2017,Brown,Sedan,64458,1st,5,Diesel,37,1248,5-Speed,Manual,74.0,190.0,3.52,BS V,7250.0,54
Hyundai,i20,2020,White,Hatchback,24360,1st,5,Petrol,37,998,6-Speed,Automatic,118.0,172.0,4.95,BS IV,9800.0,55
Mahindra,TUV300,2017,Blue,Suv,69939,1st,7,Diesel,60,1493,5-Speed,Manual,100.0,240.0,5.41,BS V,7960.0,56
Hyundai,i10,2016,Silver,Hatchback,35387,1st,5,Petrol,35,1197,5-Speed,Manual,68.0,99.08,5.05,BS III,4350.0,57
Maruti,Baleno,2015,Blue,Hatchback,63035,2nd,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,5540.0,58
Suzuki,Baleno,2015,Blue,Hatchback,63035,2nd,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,5540.0,58
Maruti,Eeco,2020,Silver,Muv,26190,1st,5,Petrol,40,1197,5-Speed,Manual,72.42,98.0,6.21,BS IV,4810.0,59
Suzuki,Eeco,2020,Silver,Muv,26190,1st,5,Petrol,40,1197,5-Speed,Manual,72.42,98.0,6.21,BS IV,4810.0,59
Maruti,Swift,2013,White,Hatchback,47013,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.38,BS IV,4420.0,60
Suzuki,Swift,2013,White,Hatchback,47013,1st,5,Petrol,42,1197,5-Speed,Manual,85.8,114.0,5.38,BS IV,4420.0,60
Hyundai,Grand,2019,Grey,Hatchback,11734,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5300.0,61
Hyundai,i10,2019,Grey,Hatchback,11734,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5300.0,61
Maruti,Dzire,2018,Blue,Sedan,27902,1st,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,7590.0,62
Suzuki,Dzire,2018,Blue,Sedan,27902,1st,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,7590.0,62
Hyundai,Xcent,2015,Blue,Sedan,66674,2nd,5,Petrol,43,1197,5-Speed,Manual,81.0,114.0,5.24,BS IV,4550.0,63
Tata,Harrier,2021,Black,Suv,38143,1st,5,Diesel,50,1956,6-Speed,Automatic,140.0,350.0,5.88,BS IV,19720.0,64
Maruti,Ciaz,2021,Grey,Sedan,13554,1st,5,Petrol,43,1462,4-Speed,Automatic,103.25,138.0,5.0,BS IV,11380.0,65
Suzuki,Ciaz,2021,Grey,Sedan,13554,1st,5,Petrol,43,1462,4-Speed,Automatic,103.25,138.0,5.0,BS IV,11380.0,65
Tata,Altroz,2022,Red,Hatchback,1540,1st,5,Petrol,37,1199,6-Speed,Automatic,84.82,113.0,5.25,BS IV,9200.0,66
Hyundai,Creta,2021,Black,Suv,12285,1st,5,Petrol,50,1353,7-Speed,Automatic,138.0,242.2,5.95,BS IV,17420.0,67
Maruti,Baleno,2015,Blue,Hatchback,80408,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,5680.0,68
Suzuki,Baleno,2015,Blue,Hatchback,80408,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,5680.0,68
Maruti,Wagon,2016,White,Hatchback,83377,1st,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4190.0,69
Maruti,R,2016,White,Hatchback,83377,1st,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4190.0,69
Suzuki,Wagon,2016,White,Hatchback,83377,1st,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4190.0,69
Suzuki,R,2016,White,Hatchback,83377,1st,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4190.0,69
Renault,Kwid,2020,Bronze,Hatchback,21887,1st,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.55,BS IV,4760.0,70
Hyundai,Grand,2019,Grey,Hatchback,40498,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5770.0,71
Hyundai,i10,2019,Grey,Hatchback,40498,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5770.0,71
Hyundai,New,2020,White,Hatchback,18065,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5410.0,72
Hyundai,Santro,2020,White,Hatchback,18065,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5410.0,72
Volkswagen,Vento,2016,Grey,Sedan,70958,1st,5,Petrol,55,1197,7-Speed,Automatic,103.0,175.0,5.5,BS V,7300.0,73
Tata,Harrier,2021,White,Suv,16090,1st,5,Diesel,50,1956,6-Speed,Automatic,138.0,350.0,5.88,BS IV,18750.0,74
Ford,EcoSport,2015,Grey,Suv,55617,2nd,5,Petrol,52,1499,6-Speed,Automatic,109.0,140.0,6.06,BS III,6220.0,75
Hyundai,Verna,2018,Brown,Sedan,87773,1st,5,Diesel,43,1582,6-Speed,Automatic,121.0,158.0,4.04,BS V,9370.0,76
Hyundai,i20,2016,Brown,Crossover,54744,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6250.0,77
Hyundai,Active,2016,Brown,Crossover,54744,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6250.0,77
Hyundai,Grand,2020,Grey,Hatchback,18915,2nd,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,6090.0,78
Hyundai,i10,2020,Grey,Hatchback,18915,2nd,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,6090.0,78
Hyundai,Elite,2016,White,Hatchback,97573,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5710.0,79
Hyundai,i20,2016,White,Hatchback,97573,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5710.0,79
Renault,Kwid,2019,Grey,Hatchback,4776,1st,5,Petrol,28,799,5-Speed,Manual,53.3,72.0,3.97,BS V,4120.0,80
Hyundai,i20,2018,White,Crossover,24676,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6380.0,81
Hyundai,Active,2018,White,Crossover,24676,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6380.0,81
Maruti,S-Cross,2018,Blue,Suv,52291,2nd,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,8070.0,82
Suzuki,S-Cross,2018,Blue,Suv,52291,2nd,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,8070.0,82
Hyundai,Elite,2017,White,Hatchback,49775,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5900.0,83
Hyundai,i20,2017,White,Hatchback,49775,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5900.0,83
Maruti,S-Cross,2017,Brown,Suv,83551,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,6510.0,84
Suzuki,S-Cross,2017,Brown,Suv,83551,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,6510.0,84
Hyundai,i20,2018,Brown,Crossover,34075,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6940.0,85
Hyundai,Active,2018,Brown,Crossover,34075,2nd,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6940.0,85
Honda,City,2020,Brown,Sedan,14414,1st,5,Petrol,40,1498,6-Speed,Automatic,119.35,145.0,5.43,BS IV,13640.0,86
Ford,EcoSport,2018,Brown,Suv,35796,1st,5,Petrol,52,1496,5-Speed,Manual,120.69,149.0,6.29,BS IV,7830.0,87
Maruti,Swift,2020,Red,Hatchback,38199,2nd,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6280.0,88
Suzuki,Swift,2020,Red,Hatchback,38199,2nd,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6280.0,88
Nissan,Magnite,2021,Silver,Suv,8197,1st,5,Petrol,40,999,5-Speed,Manual,99.0,160.0,5.0,BS IV,8850.0,89
Maruti,Baleno,2018,Grey,Hatchback,27626,1st,5,Petrol,37,1197,CVT,Automatic,81.8,113.0,5.11,BS V,7240.0,90
Suzuki,Baleno,2018,Grey,Hatchback,27626,1st,5,Petrol,37,1197,CVT,Automatic,81.8,113.0,5.11,BS V,7240.0,90
Hyundai,Xcent,2014,Blue,Sedan,48106,1st,5,Petrol,43,1197,5-Speed,Manual,81.0,114.0,5.24,BS IV,4700.0,91
Maruti,Ciaz,2021,Grey,Sedan,12031,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,10850.0,92
Suzuki,Ciaz,2021,Grey,Sedan,12031,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,10850.0,92
Maruti,Celerio,2021,Grey,Hatchback,5992,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.62,BS IV,6200.0,93
Suzuki,Celerio,2021,Grey,Hatchback,5992,1st,5,Petrol,35,998,5-Speed,Manual,67.04,90.0,4.62,BS IV,6200.0,93
Volkswagen,Polo,2020,Red,Hatchback,20427,1st,5,Petrol,45,999,5-Speed,Manual,75.1,95.0,5.64,BS IV,6590.0,94
Tata,Altroz,2022,Red,Hatchback,8560,1st,5,Petrol,37,1199,5-Speed,Manual,108.0,140.0,5.52,BS IV,9530.0,95
Hyundai,Creta,2019,Red,Suv,58693,1st,5,Petrol,55,1591,6-Speed,Automatic,121.3,151.0,6.33,BS V,11730.0,96
Maruti,S-Presso,2020,Grey,Hatchback,18282,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4570.0,97
Suzuki,S-Presso,2020,Grey,Hatchback,18282,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4570.0,97
Maruti,S-Presso,2020,Grey,Hatchback,17214,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4610.0,98
Suzuki,S-Presso,2020,Grey,Hatchback,17214,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.61,BS IV,4610.0,98
Maruti,Swift,2013,Red,Hatchback,77692,1st,5,Diesel,43,1248,5-Speed,Manual,74.0,190.0,4.37,BS IV,4710.0,99
Suzuki,Swift,2013,Red,Hatchback,77692,1st,5,Diesel,43,1248,5-Speed,Manual,74.0,190.0,4.37,BS IV,4710.0,99
Maruti,Ciaz,2020,White,Sedan,10381,1st,5,Petrol,43,1462,5-Speed,Manual,103.25,138.0,4.84,BS IV,9020.0,100
Suzuki,Ciaz,2020,White,Sedan,10381,1st,5,Petrol,43,1462,5-Speed,Manual,103.25,138.0,4.84,BS IV,9020.0,100
Honda,WR-V,2017,Silver,Suv,28831,1st,5,Petrol,40,1199,5-Speed,Manual,88.5,110.0,6.06,BS IV,7910.0,101
Toyota,Etios,2014,Grey,Sedan,72359,1st,5,Petrol,45,1496,5-Speed,Manual,90.0,132.0,5.69,BS IV,5060.0,102
Maruti,Dzire,2017,Blue,Sedan,36922,2nd,5,Petrol,37,1197,5-Speed,Manual,88.5,113.0,4.3,BS V,5940.0,103
Suzuki,Dzire,2017,Blue,Sedan,36922,2nd,5,Petrol,37,1197,5-Speed,Manual,88.5,113.0,4.3,BS V,5940.0,103
Hyundai,i10,2013,Silver,Hatchback,72356,1st,5,Petrol,35,1197,4-Speed,Automatic,78.9,111.8,5.9,BS III,3620.0,104
Hyundai,Verna,2018,White,Sedan,55760,1st,5,Diesel,43,1582,6-Speed,Automatic,121.0,158.0,4.04,BS V,9140.0,105
Hyundai,Elite,2015,Red,Hatchback,77836,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5440.0,106
Hyundai,i20,2015,Red,Hatchback,77836,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5440.0,106
Volkswagen,Vento,2014,Silver,Sedan,68269,2nd,5,Petrol,55,1598,5-Speed,Manual,103.2,153.0,6.22,BS III,5130.0,107
Renault,Triber,2020,Yellow,Muv,62659,1st,7,Petrol,40,999,5-Speed,Manual,72.0,96.0,5.49,BS IV,7370.0,108
Maruti,Dzire,2018,Brown,Sedan,59847,1st,5,Petrol,37,1197,5-Speed,Manual,88.5,113.0,4.3,BS V,6640.0,109
Suzuki,Dzire,2018,Brown,Sedan,59847,1st,5,Petrol,37,1197,5-Speed,Manual,88.5,113.0,4.3,BS V,6640.0,109
Hyundai,Verna,2018,White,Sedan,83607,1st,5,Diesel,43,1582,6-Speed,Automatic,126.0,260.0,4.04,BS V,10270.0,110
Hyundai,Elite,2015,Silver,Hatchback,33439,2nd,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5750.0,111
Hyundai,i20,2015,Silver,Hatchback,33439,2nd,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,5750.0,111
Honda,WR-V,2018,Silver,Suv,81799,1st,5,Diesel,40,1498,6-Speed,Automatic,97.89,200.0,4.22,BS IV,8420.0,112
Volkswagen,Polo,2019,Silver,Hatchback,30378,1st,5,Petrol,45,999,5-Speed,Manual,74.96,95.0,5.48,BS V,7420.0,113
Nissan,Magnite,2022,Red,Suv,5129,1st,5,Petrol,40,999,CVT,Automatic,99.0,152.0,5.65,BS IV,10710.0,114
Hyundai,Venue,2021,Blue,Suv,8873,1st,5,Petrol,45,998,6-Speed,Automatic,118.35,171.6,5.47,BS IV,10440.0,115
Hyundai,Verna,2014,Blue,Sedan,78297,2nd,5,Diesel,43,1582,4-Speed,Automatic,126.0,260.0,5.88,BS III,6390.0,116
Jeep,Compass,2017,White,Suv,50808,1st,5,Diesel,60,1956,6-Speed,Automatic,170.0,350.0,6.13,BS IV,16490.0,117
Maruti,Alto,2020,Grey,Hatchback,16384,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3920.0,118
Maruti,800,2020,Grey,Hatchback,16384,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3920.0,118
Suzuki,Alto,2020,Grey,Hatchback,16384,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3920.0,118
Suzuki,800,2020,Grey,Hatchback,16384,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3920.0,118
Tata,Tiago,2020,Yellow,Hatchback,16123,1st,5,Petrol,35,1199,5-Speed,Manual,85.0,113.0,5.0,BS IV,6260.0,119
Hyundai,Eon,2016,Red,Hatchback,47487,2nd,5,Petrol,32,814,5-Speed,Manual,68.05,94.14,4.99,BS IV,3200.0,120
Hyundai,Grand,2019,Grey,Hatchback,25632,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5790.0,121
Hyundai,i10,2019,Grey,Hatchback,25632,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5790.0,121
Volkswagen,Ameo,2017,Grey,Sedan,33269,1st,5,Petrol,45,1198,5-Speed,Manual,73.75,110.0,5.88,BS V,6080.0,122
